191;161;191,101,190,102,104,105,106,162,161;191,101,190,102,103,104,105,106,162,161;191,101,190,102,104,105,158,159,160,161;191,101,190,102,103,104,105,158,159,160,161
161;191;161,162,106,105,104,102,190,101,191;161,160,159,158,105,104,102,190,101,191;161,162,106,105,104,103,102,190,101,191;161,160,159,158,105,104,103,102,190,101,191
191;162;191,101,190,102,104,105,106,162;191,101,190,102,103,104,105,106,162
162;191;162,106,105,104,102,190,101,191;162,106,105,104,103,102,190,101,191
191;163;191,101,190,102,104,105,106,163;191,101,190,102,103,104,105,106,163
163;191;163,106,105,104,102,190,101,191;163,106,105,104,103,102,190,101,191
290;250;290,206,208,209,250;290,206,207,208,209,250
250;290;250,209,208,206,290;250,209,208,207,206,290
290;251;290,206,208,209,251;290,206,207,208,209,251
251;290;251,209,208,206,290;251,209,208,207,206,290
290;252;290,206,208,209,251,252;290,206,207,208,209,251,252
252;290;252,251,209,208,206,290;252,251,209,208,207,206,290
290;253;290,206,208,209,251,252,253;290,206,207,208,209,251,252,253;290,206,208,209,210,255,254,253;290,206,207,208,209,210,255,254,253
253;290;253,252,251,209,208,206,290;253,252,251,209,208,207,206,290;253,254,255,210,209,208,206,290;253,254,255,210,209,208,207,206,290
290;254;290,206,208,209,210,255,254;290,206,207,208,209,210,255,254;290,206,208,209,251,252,253,254;290,206,207,208,209,251,252,253,254
254;290;254,255,210,209,208,206,290;254,253,252,251,209,208,206,290;254,255,210,209,208,207,206,290;254,253,252,251,209,208,207,206,290
290;255;290,206,208,209,210,255;290,206,207,208,209,210,255
255;290;255,210,209,208,206,290;255,210,209,208,207,206,290
290;256;290,206,208,209,210,256;290,206,207,208,209,210,256
256;290;256,210,209,208,206,290;256,210,209,208,207,206,290
290;257;290,200,291,201,203,204,257;290,200,291,201,202,203,204,257
257;290;257,204,203,201,291,200,290;257,204,203,202,201,291,200,290
290;258;290,200,291,201,203,204,258;290,200,291,201,202,203,204,258
258;290;258,204,203,201,291,200,290;258,204,203,202,201,291,200,290
290;259;290,200,291,201,203,204,258,259;290,200,291,201,202,203,204,258,259
259;290;259,258,204,203,201,291,200,290;259,258,204,203,202,201,291,200,290
290;260;290,200,291,201,203,204,258,259,260;290,200,291,201,202,203,204,258,259,260;290,200,291,201,203,204,205,262,261,260;290,200,291,201,202,203,204,205,262,261,260
260;290;260,259,258,204,203,201,291,200,290;260,259,258,204,203,202,201,291,200,290;260,261,262,205,204,203,201,291,200,290;260,261,262,205,204,203,202,201,291,200,290
290;261;290,200,291,201,203,204,205,262,261;290,200,291,201,202,203,204,205,262,261;290,200,291,201,203,204,258,259,260,261;290,200,291,201,202,203,204,258,259,260,261
261;290;261,262,205,204,203,201,291,200,290;261,260,259,258,204,203,201,291,200,290;261,262,205,204,203,202,201,291,200,290;261,260,259,258,204,203,202,201,291,200,290
290;262;290,200,291,201,203,204,205,262;290,200,291,201,202,203,204,205,262
262;290;262,205,204,203,201,291,200,290;262,205,204,203,202,201,291,200,290
290;263;290,200,291,201,203,204,205,263;290,200,291,201,202,203,204,205,263
263;290;263,205,204,203,201,291,200,290;263,205,204,203,202,201,291,200,290
291;250;291,200,290,206,208,209,250;291,200,290,206,207,208,209,250
250;291;250,209,208,206,290,200,291;250,209,208,207,206,290,200,291
291;251;291,200,290,206,208,209,251;291,200,290,206,207,208,209,251
251;291;251,209,208,206,290,200,291;251,209,208,207,206,290,200,291
291;252;291,200,290,206,208,209,251,252;291,200,290,206,207,208,209,251,252
252;291;252,251,209,208,206,290,200,291;252,251,209,208,207,206,290,200,291
291;253;291,200,290,206,208,209,251,252,253;291,200,290,206,207,208,209,251,252,253;291,200,290,206,208,209,210,255,254,253;291,200,290,206,207,208,209,210,255,254,253
253;291;253,252,251,209,208,206,290,200,291;253,252,251,209,208,207,206,290,200,291;253,254,255,210,209,208,206,290,200,291;253,254,255,210,209,208,207,206,290,200,291
291;254;291,200,290,206,208,209,210,255,254;291,200,290,206,207,208,209,210,255,254;291,200,290,206,208,209,251,252,253,254;291,200,290,206,207,208,209,251,252,253,254
254;291;254,255,210,209,208,206,290,200,291;254,253,252,251,209,208,206,290,200,291;254,255,210,209,208,207,206,290,200,291;254,253,252,251,209,208,207,206,290,200,291
291;255;291,200,290,206,208,209,210,255;291,200,290,206,207,208,209,210,255
255;291;255,210,209,208,206,290,200,291;255,210,209,208,207,206,290,200,291
291;256;291,200,290,206,208,209,210,256;291,200,290,206,207,208,209,210,256
256;291;256,210,209,208,206,290,200,291;256,210,209,208,207,206,290,200,291
291;257;291,201,203,204,257;291,201,202,203,204,257
257;291;257,204,203,201,291;257,204,203,202,201,291
291;258;291,201,203,204,258;291,201,202,203,204,258
258;291;258,204,203,201,291;258,204,203,202,201,291
291;259;291,201,203,204,258,259;291,201,202,203,204,258,259
259;291;259,258,204,203,201,291;259,258,204,203,202,201,291
291;260;291,201,203,204,258,259,260;291,201,202,203,204,258,259,260;291,201,203,204,205,262,261,260;291,201,202,203,204,205,262,261,260
260;291;260,259,258,204,203,201,291;260,259,258,204,203,202,201,291;260,261,262,205,204,203,201,291;260,261,262,205,204,203,202,201,291
291;261;291,201,203,204,205,262,261;291,201,202,203,204,205,262,261;291,201,203,204,258,259,260,261;291,201,202,203,204,258,259,260,261
